E-1,Seaman Recruit,SR,,'zero one white stripe,zero one white stripe on a field of blue,
E-2,Seaman Apprentice,SA,,'zero two white stripes,zero two white stripes on a field of blue,
E-3,Seaman,SN,,'zero three white stripes,zero three white stripes on a field of blue,
E-4,Petty Officer Third Class,PO3,zero one gold chevron,zero one red chevron,zero one red chevron below zero one white rating insignia below zero one white crow on a field of blue,
E-5,Petty Officer Second Class,PO2,zero two gold chevrons,zero two red chevrons,zero two red chevrons below zero one white rating insignia below zero one white crow on a field of blue,
E-6,Petty Officer First Class,PO1,zero three gold chevrons,zero three red chevrons,zero three red chevrons below zero one white rating insignia below zero one white crow on a field of blue,
E-7,Chief Petty Officer,CPO,zero one gold anchor,zero three gold chevrons below zero one gold rocker,zero three gold chevrons below zero one white rating insignia below zero one gold rocker below zero one white crow on a field of blue,
E-8,Senior Chief Petty Officer,SCPO,zero one gold anchor below zero one silver star,zero three gold chevrons below zero one gold rocker below zero one silver star,zero three gold chevrons below zero one white rating insignia below zero one gold rocker below zero one white crow below zero one silver star on a field of blue,
E-9,Master Chief Petty Officer,MCPO,zero one gold anchor below zero two silver stars,zero three gold chevrons below zero one gold rocker below zero two silver stars,zero three gold chevrons below zero one white rating insignia below zero one gold rocker below zero one white crow below zero two silver stars on a field of blue,
E-9 CMC,'Command Master Chief Petty Officer,CMC,zero one gold anchor below zero two silver stars,zero three gold chevrons below zero one gold rocker below zero two silver stars,zero three gold chevrons below zero one silver shield below zero one gold rocker below zero one white crow below zero two silver stars on a field of blue,
E-9 MCPOCGR,'Master Chief Petty Officer of the Coast Guard Reserve,MCPOCGR,zero one gold anchor below zero two silver stars,zero three gold chevrons below zero one gold rocker below zero two gold stars,zero three gold chevrons below zero one gold shield below zero one gold rocker below zero one white crow below zero two gold stars on a field of blue,
E-9 MCPOCG,'Master Chief Petty Officer of the Coast Guard,MCPOCG,zero one gold anchor below zero three silver stars,zero three gold chevrons below zero one gold rocker below zero three gold stars,zero three gold chevrons below zero one gold shield below zero one gold rocker below zero one white crow below zero three gold stars on a field of blue,
O-1,Ensign,ENS,zero one gold bar,zero one half-inch gold band,zero one half-inch gold band below zero one gold shield on a field of blue,zero one half-inch gold band
O-2,Lieutenant Junior Grade,LTJG,zero one silver bar,zero one half-inch gold band below zero one quarter-inch gold band,zero one half-inch gold band below zero one quarter-inch gold band below zero one gold shield on a field of blue,zero one half-inch gold band below zero one quarter-inch gold band
O-3,Lieutenant,LT,zero two silver bars,zero two half-inch gold bands,zero two half-inch gold bands below zero one gold shield on a field of blue,zero two half-inch gold bands
O-4,Lieutenant Commander,LCDR,zero one gold oak leaf,zero one half-inch gold band below zero one quarter-inch gold band below another zero one half-inch gold band,zero one half-inch gold band below zero one quarter-inch gold band below another zero one half-inch gold band below zero one gold shield on a field of blue,zero one half-inch gold band below zero one quarter-inch gold band below another zero one half-inch gold band
O-5,Commander,CDR,zero one silver oak leaf,zero three half-inch gold bands,zero three half-inch gold bands below zero one gold shield on a field of blue,zero three half-inch gold bands
O-6,Captain,CAPT,zero one silver eagle,zero four half-inch gold bands,zero four half-inch gold bands below zero one gold shield on a field of blue,zero four half-inch gold bands
O-7,Rear Admiral (lower half),RDML,zero one silver star,zero one silver star,zero one silver star below zero one anchor behind zero one shield on a field of gold,zero one two-inch gold band
O-8,Rear Admiral (upper half),RADM,zero two silver stars,zero two silver stars,zero two silver stars below zero one anchor behind zero one shield on a field of gold,zero one two-inch gold band below zero one half-inch gold band
O-9,Vice Admiral,VADM,zero three silver stars,zero three silver stars,zero three silver stars below zero one anchor behind zero one shield on a field of gold,zero one two-inch gold band below zero two half-inch gold bands
O-10,Admiral,ADM,zero four silver stars,zero four silver stars,zero four silver stars below zero one anchor behind zero one shield on a field of gold,zero one two-inch gold band below zero three half-inch gold bands
W-2,Chief Warrant Officer 2,W-2,zero one gold bar with zero three blue breaks,zero one half-inch gold band with zero three blue breaks,zero one half-inch gold band with zero three blue breaks below zero one gold shield below zero one rating symbol on a field of blue,
W-3,Chief Warrant Officer 3,W-3,zero one silver bar with zero two blue breaks,zero one half-inch gold band with zero two blue breaks,zero one half-inch gold band with zero two blue breaks below zero one gold shield below zero one rating symbol on a field of blue,
W-4,Chief Warrant Officer 4,W-4,zero one silver bar with zero three blue breaks,zero one half-inch gold band with zero one blue break,zero one half-inch gold band with zero one blue break below zero one gold shield below zero one rating symbol on a field of blue,